time,body0_x,body0_y,body0_z,body1_x,body1_y,body1_z,body2_x,body2_y,body2_z
86400.00000000,-51912211.65565283,99999590123.55589294,-99774731790.53343201,-99999613574.37976074,-199955954958.10656738,100000012914.62013245,-314213.96458880,-435165.44930680,149891358875.91329956
172800.00000000,-104204792.09522447,99997016140.60017395,-99546148316.63444519,-99997189349.60430908,-199907453857.70343018,100000092800.34323120,-2285858.30046532,-3162282.89672445,149779335516.29119873
259200.00000000,-156877541.53041813,99992273078.24488831,-99314243924.72242737,-99992725603.66812134,-199854493210.52966309,100000238355.90908813,-5916854.80145633,-8179867.71519523,149663925568.81332397
345600.00000000,-209930284.08889642,99985355828.26861572,-99079012804.08454895,-99986220481.22288513,-199797069234.16549683,100000448275.54512024,-11209234.68821994,-15486594.10308483,149545124528.53939819
432000.00000000,-263362867.93295944,99976259145.62765503,-98840448985.52783203,-99977671993.02061462,-199735177850.86132812,100000721248.40144348,-18165139.04643464,-25081294.76631119,149422927737.12637329
518400.00000000,-317175165.38727015,99964977646.91902161,-98598546339.99005127,-99967078015.30789185,-199668814686.25698853,100001055957.97798157,-26786819.30484625,-36962960.66201816,149297330382.01205444
604800.00000000,-371367073.07579052,99951505808.79417419,-98353298577.10835266,-99954436289.17076111,-199597975067.99044800,100001451081.54307556,-37076637.75346280,-51130740.80371127,149168327495.56527710
691200.00000000,-425938512.06810111,99935837966.32234192,-98104699243.74516296,-99939744419.82969666,-199522654024.19448853,100001905289.54298401,-49037068.10222244,-67583942.12783141,149035913954.20217896
777600.00000000,-480889428.03528541,99917968311.30239868,-97852741722.47032166,-99922999875.88424683,-199442846281.88058472,100002417245.00169373,-62670696.08049455,-86322029.42180142,148900084477.46862793
864000.00000000,-536219791.41556960,99897890890.52192688,-97597419229.99885559,-99904199988.50665283,-199358546265.20828247,100002985602.91052246,-77980220.07781021,-107344625.31363881,148760833627.08831787
950400.00000000,-591929597.58991849,99875599603.96232605,-97338724815.58335876,-99883341950.58386230,-199269748093.63903809,100003609009.60682678,-94968451.82625464,-130651510.32328834,148618155805.97650146
1036800.00000000,-648018867.06779790,99851088202.94856262,-97076651359.36022949,-99860422815.80725098,-199176445579.97268677,100004286102.14114380,-113638317.12499064,-156242622.97588745,148472045257.21905518
1123200.00000000,-704487645.68332469,99824350288.24240112,-96811191570.64889526,-99835439497.70928955,-199078632228.26516724,100005015507.63223267,-133992856.60742033,-184118059.97723824,148322496063.01663208
1209600.00000000,-761336004.80203557,99795379308.07743835,-96542337986.20292664,-99808388768.64646912,-198976301231.62561035,100005795842.60925293,-156035226.55152991,-214278076.45182133,148169502143.59362793
1296000.00000000,-818564041.53851831,99764168556.13478088,-96270082968.41226196,-99779267258.72750854,-198869445469.89102173,100006625712.34040833,-179768699.73400211,-246723086.24374884,148013057256.07180786
1382400.00000000,-876171878.98515904,99730711169.45762634,-95994418703.45545959,-99748071454.68615723,-198758057507.17648315,100007503710.14727783,-205196666.32871988,-281453662.28111690,147853154993.30813599
1468800.00000000,-934159666.45227206,99695000126.30328369,-95715337199.40100098,-99714797698.69743347,-198642129589.29898071,100008428416.70422363,-232322634.85032636,-318470537.00428230,147689788782.69671631
1555200.00000000,-992527579.71989214,99657028243.93107605,-95432830284.25651550,-99679442187.13659668,-198521653641.07238770,100009398399.32197571,-261150233.14354745,-357774602.85865372,147522951884.93447876
1641600.00000000,-1051275821.30151939,99616788176.32421875,-95146889603.96496582,-99642000969.27949524,-198396621263.47152710,100010412211.21463013,-291683209.41902643,-399366912.85265380,147352637392.75027466
1728000.00000000,-1110404620.72012377,99574272411.84423828,-94857506620.34651184,-99602469945.94345093,-198267023730.66262817,100011468390.74926758,-323925433.33646339,-443248681.18157774,147178838229.59719849
1814400.00000000,-1169914234.79672742,99529473270.81579590,-94564672608.98500061,-99560844868.06741333,-198132851986.89761353,100012565460.67724609,-357880897.13589782,-489421283.91814303,147001547148.30770874
1900800.00000000,-1229804947.95190001,99482382903.04029846,-94268378657.05790710,-99517121335.23011780,-197994096643.26965332,100013701927.34640503,-393553716.81801856,-537886259.77059686,146820756729.71145630
1987200.00000000,-1290077072.52051449,99432993285.23614502,-93968615661.10836792,-99471294794.10508728,-197850747974.32678223,100014876279.89312744,-430948133.37443352,-588645310.90932143,146636459381.21517944
2073600.00000000,-1350730949.08013034,99381296218.40371704,-93665374324.75810242,-99423360536.85102844,-197702795914.54071045,100016086989.41334534,-470068514.06888008,-641700303.86295247,146448647335.34469604
2160000.00000000,-1411766946.79338384,99327283325.11293030,-93358645156.35998535,-99373313699.43624878,-197550230054.62777710,100017332508.11148071,-510919353.77040792,-697053270.48510420,146257312648.24844360
2246400.00000000,-1473185463.76478601,99270946046.71116638,-93048418466.58874512,-99321149259.89562988,-197393039637.71823120,100018611268.42630005,-553505276.33961856,-754706408.99287486,146062447198.16238403
2332800.00000000,-1534986927.41234255,99212275640.44940186,-92734684365.96853638,-99266862036.51858521,-197231213555.37097168,100019921682.13250732,-597831036.06909955,-814662085.07838798,145864042683.83596802
2419200.00000000,-1597171794.85443330,99151263176.52406311,-92417432762.33584595,-99210446685.96635437,-197064740343.42929077,100021262139.41709900,-643901519.17924678,-876922833.09471190,145662090622.91870117
2505600.00000000,-1659740553.31240439,99087899535.03218079,-92096653358.23629761,-99151897701.31690979,-196893608177.71453857,100022631007.92912292,-691721745.37072635,-941491357.31758738,145456582350.30712891
2592000.00000000,-1722693720.52934861,99022175402.83746338,-91772335648.25375366,-99091209410.03579712,-196717804869.55291748,100024026631.80169678,-741296869.43488812,-1008370533.28448451,145247509016.45199585
2678400.00000000,-1786031845.20557094,98954081270.34440613,-91444468916.27021790,-99028375971.87095642,-196537317861.13174438,100025447330.64505005,-792632182.92350245,-1077563409.21260595,145034861585.62512207
2764800.00000000,-1849755507.45125651,98883607428.17788696,-91113042232.65486145,-98963391376.66950989,-196352134220.68029785,100026891398.50907898,-845733115.87925887,-1149073207.49755168,144818630834.14572144
2851200.00000000,-1913865319.25688505,98810743963.76535034,-90778044451.38040161,-98896249442.11460876,-196162240637.47085571,100028357102.81423950,-900605238.62852919,-1222903326.29446220,144598807348.56610107
2937600.00000000,-1978361924.98195457,98735480757.81860352,-90439464207.06527710,-98826943811.38009644,-195967623416.63500977,100029842683.24906921,-957254263.63796949,-1299057341.18356514,144375381523.81613159
3024000.00000000,-2043246001.86260962,98657807480.71221924,-90097289911.93957520,-98755467950.70080566,-195768268473.79003906,100031346350.63302612,-1015686047.43660414,-1377539006.92215896,144148343561.30648804
3110400.00000000,-2108518260.53878784,98577713588.75524902,-89751509752.73315430,-98681815146.85612488,-195564161329.47003174,100032866285.74287415,-1075906592.60511279,-1458352259.28518510,143917683466.99023438
3196800.00000000,-2174179445.60153389,98495188320.35311890,-89402111687.48374939,-98605978504.56437683,-195355287103.35641479,100034400638.10101318,-1137922049.83411622,-1541501216.99665856,143683391049.38269043
3283200.00000000,-2240230336.16115475,98410220692.05606079,-89049083442.26336670,-98527950943.78553772,-195141630508.30166626,100035947524.72401428,-1201738720.05333996,-1626990183.75435424,143445455917.53930664
3369600.00000000,-2306671746.43691969,98322799494.49067688,-88692412507.82067871,-98447725196.92948914,-194923175844.14035034,100037505028.82948303,-1267363056.63361692,-1714823650.35027647,143203867478.99114990
3456000.00000000,-2373504526.36904287,98232913288.17082214,-88332086136.13755798,-98365293805.96720886,-194699906991.28118896,100039071198.49929810,-1334801667.66377974,-1805006296.88957739,142958614937.63821411
3542400.00000000,-2440729562.25372171,98140550399.18397522,-87968091336.89741516,-98280649119.44172668,-194471807404.07318115,100040644045.29728699,-1404061318.30458355,-1897542995.11073256,142709687291.60006714
3628800.00000000,-2508347777.40203285,98045698914.74909973,-87600414873.86317444,-98193783289.37609863,-194238860103.93911743,100042221542.83915710,-1475148933.22189617,-1992438810.80993414,142457073331.02395630
3715200.00000000,-2576360132.82352877,97948346678.64178467,-87229043261.16267395,-98104688268.07501221,-194001047672.26892090,100043801625.31248474,-1548071599.10149217,-2089699006.37281775,142200761635.85012817
3801600.00000000,-2644767627.93541670,97848481286.48236084,-86853962759.47891235,-98013355804.81672668,-193758352243.06552124,100045382185.94442749,-1622836567.24789071,-2189329043.41680670,141940740573.53442383
3888000.00000000,-2713571301.29823971,97746090080.88240051,-86475159372.14292908,-97919777442.43200684,-193510755495.33483887,100046961075.41468811,-1699451256.26978564,-2291334585.54752874,141676998296.72817993
3974400.00000000,-2782772231.37902403,97641160146.44503784,-86092618841.12666321,-97823944513.76628113,-193258238645.21206665,100048536100.21122742,-1777923254.85473204,-2395721501.23294449,141409522740.91537476
4060800.00000000,-2852371537.34290123,97533678304.61407471,-85706326642.93318176,-97725848138.02127075,-193000782437.81503296,100050105020.92594910,-1858260324.63586903,-2502495866.79901695,141138301622.00717163
4147200.00000000,-2922370379.87425661,97423631108.36683655,-85316267984.38169861,-97625479216.97219849,-192738367138.81585693,100051665550.48759460,-1940470403.15358353,-2611663969.55095291,140863322433.89404297
4233600.00000000,-2992769962.02851057,97311004836.74557495,-84922427798.28451538,-97522828431.05638123,-192470972525.72128296,100053215352.32878113,-2024561606.91515303,-2723232311.02426052,140584572445.95568848
4320000.00000000,-3063571530.11568642,97195785489.22166443,-84524790739.01312256,-97417886235.32882690,-192198577878.85156250,100054752038.48408508,-2110542234.55553722,-2837207610.37008715,140302038700.52899170
4406400.00000000,-3134776374.61697531,97077958779.88716125,-84123341177.95042419,-97310642855.28044128,-191921161972.00759888,100056273167.61596680,-2198420770.10263252,-2953596807.87954187,140015708010.33441162
4492800.00000000,-3206385831.13556147,96957510131.46743774,-83718063198.82615662,-97201088282.51403809,-191638703062.81546021,100057776242.96482849,-2288205886.35045624,-3072407068.65194702,139725566955.86129761
4579200.00000000,-3278401281.38303709,96834424669.14889526,-83308940592.93235779,-97089212270.27314758,-191351178882.73663330,100059258710.21980286,-2379906448.34387684,-3193645786.41223383,139431601882.71252441
4665600.00000000,-3350824154.20279312,96708687214.21513367,-82895956854.21557617,-96975004328.81858826,-191058566626.73214722,100060717955.30627441,-2473531516.97868109,-3317320587.48296261,139133798898.90927124
4752000.00000000,-3423655926.63184357,96580282277.48483276,-82479095174.24264526,-96858453720.64729309,-190760842942.56805420,100062151302.08604431,-2569090352.72093248,-3443439334.91674852,138832143872.15658569
4838400.00000000,-3496898125.00260592,96449194052.54435730,-82058338437.03651428,-96739549455.54769897,-190457983919.74914551,100063556009.96600342,-2666592419.44976234,-3572010132.79517603,138526622427.07049561
4924800.00000000,-3570552326.08623743,96315406408.76759338,-81633669213.77857971,-96618280285.48590088,-190149965078.06695557,100064929271.41062927,-2766047388.42792273,-3703041330.70061016,138217219942.36795044
5011200.00000000,-3644620158.27920246,96178902884.11557007,-81205069757.37402344,-96494634699.31622314,-189836761355.74789429,100066268209.35363770,-2867465142.40463305,-3836541528.36765957,137903921548.02038574
5097600.00000000,-3719103302.83482981,96039666677.70762634,-80772521996.87622070,-96368600917.30976868,-189518347097.18621826,100067569874.50378418,-2970855779.85546303,-3972519580.52140760,137586712122.37243652
5184000.00000000,-3794003495.14169884,95897680642.15596008,-80336007531.76657104,-96240166885.49415588,-189194696040.24606323,100068831242.53938293,-3076229619.36420918,-4110984601.90991592,137265576289.22718811
5270400.00000000,-3869322526.05079126,95752927275.65480042,-79895507626.08558655,-96109320269.79730225,-188865781303.11590576,100070049211.18608093,-3183597204.15196943,-4251945972.53890991,136940498414.89950562
5356800.00000000,-3945062243.25343847,95605388713.81510925,-79451003202.41125488,-95976048449.98777771,-188531575370.69815063,100071220597.17184448,-3292969306.75885010,-4395413343.11698818,136611462605.23941040
5443200.00000000,-4021224552.71219015,95455046721.23535156,-79002474835.68045044,-95840338513.40386963,-188192050080.51519775,100072342133.05290222,-3404356933.88400984,-4541396640.72016525,136278452702.62754822
5529600.00000000,-4097811420.14684153,95301882682.79844666,-78549902746.84901428,-95702177248.46321106,-187847176608.11343384,100073410463.90412903,-3517771331.39001274,-4689906074.68502998,135941452282.94488525
5616000.00000000,-4174824872.57797003,95145877594.68457031,-78093266796.38601685,-95561551137.94435120,-187496925451.94427490,100074422143.86666870,-3633223989.47775078,-4840952142.74032784,135600444652.51934814
5702400.00000000,-4252266999.93044186,94987012055.08903503,-77632546477.59765625,-95418446352.03112793,-187141266417.70172119,100075373632.54551697,-3750726648.03849936,-4994545637.38733387,135255412845.05213928
5788800.00000000,-4330139956.69948483,94825266254.63386536,-77167720909.77606201,-95272848741.11059570,-186780168602.09393311,100076261291.24917603,-3870291302.18999052,-5150697652.53993988,134906339618.52688599
5875200.00000000,-4408445963.68204689,94660619966.46148682,-76698768831.16795349,-95124743828.31430054,-186413600376.02545166,100077081379.06295776,-3991930208.00372553,-5309419590.43603420,134553207452.10501099
5961600.00000000,-4487187309.77630329,94493052535.99807739,-76225668591.75840759,-94974116801.79266357,-186041529367.16567993,100077830048.74717712,-4115655888.43110228,-5470723168.83238602,134195998543.01123047
6048000.00000000,-4566366353.85232639,94322542870.37371826,-75748398145.86430359,-94820952506.71142578,-185663922441.87774658,100078503342.45094299,-4241481139.43632030,-5634620428.49596500,133834694803.41336060
6134400.00000000,-4645985526.69707680,94149069427.48597717,-75266935044.53231812,-94665235436.95858765,-185280745686.48059082,100079097187.23138428,-4369419036.34440994,-5801123741.00537491,133469277857.30093384
6220800.00000000,-4726047333.03705406,93972610204.69276428,-74781256427.73588562,-94506949726.54985046,-184891964387.81588745,100079607390.36799622,-4499482940.41316795,-5970245816.87687397,133099729037.36788940
6307200.00000000,-4806554353.64210510,93793142727.11979675,-74291339016.36563110,-94346079140.71974182,-184497543013.08947754,100080029634.46084595,-4631686505.63821888,-6141999714.03030586,132726029381.90478516
6393600.00000000,-4887509247.51408768,93610644035.56727600,-73797159104.00732422,-94182607066.68507385,-184097445188.95605469,100080359472.30056763,-4766043685.80090427,-6316398846.61119080,132348159631.70674133
6480000.00000000,-4968914754.16426468,93425090673.99961853,-73298692548.50161743,-94016516504.06661987,-183691633679.81341553,100080592321.49781799,-4902568741.76918602,-6493456994.18617058,131966100227.00378418
6566400.00000000,-5050773695.98353100,93236458676.60140991,-72795914763.27940369,-93847790054.95423889,-183280070365.27130127,100080723458.85844421,-5041276249.06230259,-6673188311.33006477,131579831304.42095947
