time,body0_x,body0_y,body0_z,body1_x,body1_y,body1_z
86400.00000000,-49981082580.49297333,-2592449474.19561005,0.00000000,49981082580.49297333,2592449474.19561005,0.00000000
172800.00000000,-49862574142.68100739,-5182938940.50199127,0.00000000,49862574142.68100739,5182938940.50199127,0.00000000
259200.00000000,-49644953628.43881989,-7766330131.66269493,0.00000000,49644953628.43881989,7766330131.66269493,0.00000000
345600.00000000,-49329098128.68701172,-10337555574.70199585,0.00000000,49329098128.68701172,10337555574.70199585,0.00000000
432000.00000000,-48916270864.57480621,-12891659072.00168991,0.00000000,48916270864.57480621,12891659072.00168991,0.00000000
518400.00000000,-48408103898.60564423,-15423833858.37210464,0.00000000,48408103898.60564423,15423833858.37210464,0.00000000
604800.00000000,-47806576095.26248169,-17929457648.82967377,0.00000000,47806576095.26248169,17929457648.82967377,0.00000000
691200.00000000,-47113986981.92609406,-20404123918.35425949,0.00000000,47113986981.92609406,20404123918.35425949,0.00000000
777600.00000000,-46332927258.25990295,-22843668903.52689362,0.00000000,46332927258.25990295,22843668903.52689362,0.00000000
864000.00000000,-45466246762.45239258,-25244193977.16022873,0.00000000,45466246762.45239258,25244193977.16022873,0.00000000
950400.00000000,-44517020725.24292755,-27602083211.18702698,0.00000000,44517020725.24292755,27602083211.18702698,0.00000000
1036800.00000000,-43488515129.56920624,-29914016101.18034363,0.00000000,43488515129.56920624,29914016101.18034363,0.00000000
1123200.00000000,-42384151949.16755676,-32176975570.27821732,0.00000000,42384151949.16755676,32176975570.27821732,0.00000000
1209600.00000000,-41207474969.28383636,-34388251495.08926392,0.00000000,41207474969.28383636,34388251495.08926392,0.00000000
1296000.00000000,-39962116803.45571899,-36545440097.47982025,0.00000000,39962116803.45571899,36545440097.47982025,0.00000000
1382400.00000000,-38651767619.00085449,-38646439622.11090851,0.00000000,38651767619.00085449,38646439622.11090851,0.00000000
1468800.00000000,-37280145976.97519684,-40689442770.15463257,0.00000000,37280145976.97519684,40689442770.15463257,0.00000000
