time,body0_x,body0_y,body0_z,body1_x,body1_y,body1_z
86400.00000000,47407.29822625,-4924.04121673,0.00000000,380543879.25623572,88701322.66611710,0.00000000
172800.00000000,338859.54646594,11320.13358059,0.00000000,356837085.10631204,175680817.68260294,0.00000000
259200.00000000,855783.69491070,101226.95509830,0.00000000,314790353.77272260,256668575.75800836,0.00000000
345600.00000000,1568481.12429572,309717.20805920,0.00000000,256819377.90392247,328010729.73945057,0.00000000
432000.00000000,2438395.61410563,671088.21483795,0.00000000,186060329.50914189,386917527.39019001,0.00000000
518400.00000000,3421836.73172252,1206908.56160880,0.00000000,106066998.61281846,431634574.85797101,0.00000000
604800.00000000,4474409.13116122,1925648.36706716,0.00000000,20450513.05782086,461472910.70382625,0.00000000
691200.00000000,5555074.17276275,2824168.20535839,0.00000000,-67451034.59192507,476687896.56224078,0.00000000
777600.00000000,6628981.81145390,3890513.19213855,0.00000000,-154802933.50589344,478251945.52640432,0.00000000
864000.00000000,7668765.42661986,5107148.36065860,0.00000000,-239379176.35213542,467591355.89957523,0.00000000
950400.00000000,8654516.04629164,6453891.93148712,0.00000000,-319560362.68664747,446347718.34866422,0.00000000
1036800.00000000,9572911.06909678,7910145.82241821,0.00000000,-394262828.99272615,416196485.70578128,0.00000000
1123200.00000000,10415970.53644273,9456348.49390876,0.00000000,-462837483.56899995,378728798.18001711,0.00000000
1209600.00000000,11179778.11165171,11074769.39866957,0.00000000,-524965770.67262387,335386862.64158702,0.00000000
1296000.00000000,11863350.25070655,12749830.39107896,0.00000000,-580567688.60282648,287437809.10482776,0.00000000
1382400.00000000,12467721.92247802,14468128.27532670,0.00000000,-629727421.97001863,235971856.65689045,0.00000000
1468800.00000000,12995249.94354881,16218291.41370183,0.00000000,-672636674.78716278,181913976.97320431,0.00000000
1555200.00000000,13449104.19857484,17990759.61105219,0.00000000,-709553286.21477699,126041798.56709747,0.00000000
1641600.00000000,13832908.13803983,19777541.48529019,0.00000000,-740771988.56406784,69005342.32970503,0.00000000
1728000.00000000,14150491.90154377,21571979.18625766,0.00000000,-766604326.28737986,11346159.35261796,0.00000000
1814400.00000000,14405727.51430519,23368534.89216838,0.00000000,-787365250.82308137,-46485302.64273478,0.00000000
1900800.00000000,14602422.42141338,25162604.43510553,0.00000000,-803364460.64670002,-104114539.55938831,0.00000000
1987200.00000000,14744253.69468676,26950358.45681090,0.00000000,-814901049.64136958,-161230070.49951988,0.00000000
2073600.00000000,14834730.12728456,28728609.05503616,0.00000000,-822260423.86466074,-217572590.74742571,0.00000000
2160000.00000000,14877173.13916879,30494698.88161288,0.00000000,-825712748.39438844,-272925950.98055309,0.00000000
2246400.00000000,14874710.13847239,32246409.43470854,0.00000000,-825512407.34073973,-327109697.74011832,0.00000000
2332800.00000000,14830275.93831666,33981885.45868850,0.00000000,-821898119.09053540,-379972924.09817296,0.00000000
2419200.00000000,14746619.21150701,35699572.70452520,0.00000000,-815093461.33369446,-431389207.07470191,0.00000000
2505600.00000000,14626311.93406257,37398166.69263828,0.00000000,-805307639.20214736,-481252439.99504095,0.00000000
2592000.00000000,14471760.44182529,39076570.49836292,0.00000000,-792736384.61700630,-529473398.74997956,0.00000000
2678400.00000000,14285217.18967451,40733859.92098036,0.00000000,-777562912.78583729,-575976908.63654149,0.00000000
2764800.00000000,14068792.62268831,42369254.69127083,0.00000000,-759958887.80570102,-620699502.37359786,0.00000000
2851200.00000000,13824466.78719360,43982094.61978190,0.00000000,-740085367.10869169,-663587479.99642682,0.00000000
2937600.00000000,13554100.45808076,45571819.79253372,0.00000000,-718093706.56031466,-704595297.97073758,0.00000000
3024000.00000000,13259445.65868987,47137954.08834347,0.00000000,-694126416.14949465,-743684228.48797870,0.00000000
3110400.00000000,12942155.51607482,48680091.42818286,0.00000000,-668317961.61807108,-780821240.98485756,0.00000000
3196800.00000000,12603793.43797946,50197884.27739254,0.00000000,-640795510.91818738,-815978066.91076660,0.00000000
3283200.00000000,12245841.62566780,51691034.01089296,0.00000000,-611679626.64788985,-849130416.03177559,0.00000000
3369600.00000000,11869708.95386097,53159282.82374828,0.00000000,-581084907.00705111,-880257318.43400943,0.00000000
3456000.00000000,11476738.25892252,54602406.92786537,0.00000000,-549120578.62006581,-909340571.14154518,0.00000000
3542400.00000000,11068213.08150005,56020210.82294286,0.00000000,-515891044.98390418,-936364272.11406982,0.00000000
3628800.00000000,10645363.91173194,57412522.46821303,0.00000000,-481496394.45468730,-961314427.51523387,0.00000000
3715200.00000000,10209373.98499887,58779189.21280079,0.00000000,-446032871.67547256,-984178620.68709612,0.00000000
3801600.00000000,9761384.67482007,60120074.36807338,0.00000000,-409593316.23570490,-1004945733.34424531,0.00000000
3888000.00000000,9302500.52739201,61435054.32630487,0.00000000,-372267572.18176287,-1023605711.20529759,0.00000000
3974400.00000000,8833793.97979635,62724016.14724036,0.00000000,-334142871.79710972,-1040149367.68346083,0.00000000
4060800.00000000,8356309.80130244,63986855.54844616,0.00000000,-295304196.85886842,-1054568220.42114925,0.00000000
4147200.00000000,7871069.29460568,65223475.24726325,0.00000000,-255834620.36754370,-1066854356.42408645,0.00000000
4233600.00000000,7379074.29137522,66433783.61221713,0.00000000,-215815631.54580209,-1077000322.36667109,0.00000000
4320000.00000000,6881310.97418405,67617693.59026578,0.00000000,-175327446.71516100,-1084999037.33407211,0.00000000
4406400.00000000,6378753.55479154,68775121.88360472,0.00000000,-134449308.48835513,-1090843725.86335778,0.00000000
4492800.00000000,5872367.83684998,69905988.35615706,0.00000000,-93259775.56072004,-1094527869.66726184,0.00000000
4579200.00000000,5363114.68940733,71010215.65557599,0.00000000,-51837005.24571688,-1096045176.88777137,0.00000000
4665600.00000000,4851953.45606286,72087729.04176255,0.00000000,-10259030.77645555,-1095389568.14772940,0.00000000
4752000.00000000,4339845.32327724,73138456.41771545,0.00000000,31395964.71517760,-1092555179.06016064,0.00000000
4838400.00000000,3827756.67011166,74162328.56312211,0.00000000,73049375.72995368,-1087536379.22862387,0.00000000
4924800.00000000,3316662.42053431,75159279.57560159,0.00000000,114621901.72390544,-1080327808.13801503,0.00000000
5011200.00000000,2807549.41833879,76129247.52903911,0.00000000,156033272.59167522,-1070924428.70364976,0.00000000
5097600.00000000,2301419.84361019,77072175.36312273,0.00000000,197201970.77036178,-1059321599.62638724,0.00000000
5184000.00000000,1799294.68848024,77988012.02311747,0.00000000,238044948.52078471,-1045515168.10212326,0.00000000
5270400.00000000,1302217.30854475,78876713.87420121,0.00000000,278477339.05435538,-1029501584.86420524,0.00000000
5356800.00000000,811257.06466625,79738246.42045341,0.00000000,318412160.30799723,-1011278044.00637650,0.00000000
5443200.00000000,327513.06781486,80572586.36494602,0.00000000,357760010.33791417,-990842650.55104911,0.00000000
5529600.00000000,-147881.96306060,81379724.05445245,0.00000000,396428753.51944900,-968194619.30251122,0.00000000
5616000.00000000,-613757.72360792,82159666.36018187,0.00000000,434323197.02242655,-943334509.16652811,0.00000000
5702400.00000000,-1068902.22511975,82912440.05477338,0.00000000,471344757.40146017,-916264497.83583522,0.00000000
5788800.00000000,-1512057.57805634,83638095.75564976,0.00000000,507391117.62670237,-886988702.54345930,0.00000000
5875200.00000000,-1941915.66987636,84336712.51581274,0.00000000,542355875.51759243,-855513553.47908068,0.00000000
